name,team,salary_2024,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
DeWanna Bonner,Sun,209593,UFA,40,39,1272,601,212,511,0.415,154,314,0.49,58,197,0.294,119,143,0.8320000000000001,22,216,238,80,56,47,27,70
Ariel Atkins,Mystics,200000,--,40,40,1196,597,217,497,0.43700000000000006,138,276,0.5,79,221,0.35700000000000004,84,99,0.848,36,99,135,124,92,59,17,112
Kayla McBride,Lynx,208000,UFA,39,39,1237,586,174,414,0.42,69,156,0.442,105,258,0.407,133,149,0.893,14,86,100,126,79,49,2,48
Jackie Young,Aces,169950,--,37,37,1205,583,201,467,0.43,131,259,0.506,70,208,0.337,111,128,0.867,26,135,161,197,78,37,8,92
Tina Charles,Dream,130000,UFA,39,39,1160,581,243,533,0.456,232,491,0.473,11,42,0.262,84,107,0.785,97,277,374,89,61,36,20,96
Chennedy Carter,Sky,76535,UFA,33,20,858,577,238,489,0.487,229,458,0.5,9,31,0.29,92,126,0.73,22,95,117,102,55,36,6,105
Marina Mabrey,Sky,217592,RFA,40,27,1235,575,214,518,0.413,116,258,0.45,98,260,0.377,49,69,0.71,22,152,174,163,94,45,17,104
Aliyah Boston,Fever,75792,--,40,40,1236,560,236,446,0.529,229,420,0.545,7,26,0.26899999999999996,81,110,0.736,111,244,355,126,79,35,49,130
Jonquel Jones,Liberty,190000,UFA,39,39,1164,553,206,382,0.539,147,231,0.636,59,151,0.391,82,104,0.7879999999999999,67,283,350,126,92,30,50,113
Brionna Jones,Sun,212000,Core,40,40,1087,549,220,409,0.5379999999999999,218,395,0.552,2,14,0.14300000000000002,107,145,0.738,86,135,221,60,51,46,23,106
Diana Taurasi,Mercury,234936,UFA,36,36,1044,538,172,430,0.4,86,172,0.5,86,258,0.33299999999999996,108,126,0.857,13,124,137,122,68,22,10,92
Rickea Jackson,Sparks,76535,Rookie,40,35,1152,535,200,439,0.456,157,315,0.498,43,124,0.34700000000000003,92,114,0.807,51,104,155,59,76,27,14,70
Brittney Griner,Mercury,150000,UFA,30,30,861,534,219,378,0.579,210,360,0.583,9,18,0.5,87,112,0.777,54,143,197,69,53,16,46,57
Rhyne Howard,Dream,80943,Rookie,30,29,1018,519,167,450,0.371,87,207,0.42,80,243,0.32899999999999996,105,134,0.784,25,106,131,94,51,54,19,63
DiJonai Carrington,Sun,78469,Rookie,39,39,1155,496,173,429,0.403,147,325,0.452,26,104,0.25,124,157,0.79,53,143,196,61,74,61,17,100
Natasha Howard,Wings,234350,Core,27,26,825,474,187,410,0.456,176,355,0.496,11,55,0.2,89,124,0.718,53,129,182,78,76,34,21,85
Angel Reese,Sky,73439,Rookie,34,34,1104,462,164,419,0.391,161,403,0.4,3,16,0.188,131,178,0.736,172,274,446,63,75,44,16,119
Teaira McCowan,Wings,195700,RFA,39,38,983,458,184,323,0.57,183,319,0.574,1,4,0.25,89,124,0.718,112,202,314,61,76,33,34,117
Courtney Williams,Lynx,175000,UFA,40,40,1061,445,194,438,0.4429999999999999,171,369,0.463,23,69,0.33299999999999996,34,42,0.81,14,172,186,221,98,36,16,77
Natasha Cloud,Mercury,200000,UFA,38,38,1265,438,152,383,0.397,108,240,0.45,44,143,0.308,90,109,0.826,18,136,154,263,115,54,23,102
Ezi Magbegor,Storm,155000,Reserved,37,37,1135,433,172,336,0.512,159,283,0.562,13,53,0.245,76,87,0.8740000000000001,83,213,296,74,53,40,82,117
Alyssa Thomas,Sun,218000,UFA,40,40,1296,423,166,326,0.509,166,322,0.516,0,4,0,91,145,0.628,98,239,337,317,145,62,18,84
NaLyssa Smith,Fever,80943,Rookie,40,37,990,422,168,350,0.48,154,302,0.51,14,48,0.292,72,127,0.5670000000000001,72,213,285,41,52,30,39,107
Tyasha Harris,Sun,97100,--,39,38,1125,409,145,341,0.425,85,189,0.45,60,152,0.395,59,77,0.7659999999999999,10,59,69,118,54,40,13,66
Alanna Smith,Lynx,150000,UFA,39,39,1035,395,147,312,0.471,100,194,0.515,47,118,0.398,54,72,0.75,61,158,219,124,76,53,57,119
Bridget Carleton,Lynx,125000,UFA,39,36,1165,373,126,284,0.444,35,79,0.4429999999999999,91,205,0.444,30,38,0.789,37,110,147,87,40,39,12,80
Stefanie Dolson,Mystics,185000,UFA,39,39,1013,371,133,280,0.475,61,125,0.488,72,155,0.465,33,42,0.7859999999999999,33,160,193,102,68,21,18,114
Sophie Cunningham,Mercury,189500,RFA,40,21,1109,334,103,240,0.429,35,60,0.583,68,180,0.37799999999999995,60,69,0.87,16,141,157,79,38,41,10,91
Betnijah Laney-Hamilton,Liberty,180000,UFA,28,25,848,329,120,263,0.456,79,161,0.491,41,102,0.402,48,53,0.906,30,88,118,93,66,32,1,60
Kamilla Cardoso,Sky,76535,Rookie,32,29,876,313,126,242,0.521,126,242,0.521,0,0,NA,61,84,0.726,96,158,254,54,49,17,47,101
Myisha Hines-Allen,Mystics,180200,RFA,40,11,746,313,120,244,0.4920000000000001,102,194,0.526,18,50,0.36,55,66,0.833,42,145,187,102,56,26,4,81
Tiffany Hayes,Aces,88000,UFA,33,5,708,313,110,220,0.5,77,138,0.5579999999999999,33,82,0.402,60,84,0.7140000000000001,27,65,92,69,28,25,9,68
Kia Nurse,Sparks,142500,UFA,40,27,810,303,102,263,0.388,49,103,0.476,53,160,0.331,46,58,0.7929999999999999,17,47,64,53,49,19,1,72
Shatori Walker-Kimbrough,Mystics,97850,UFA,40,2,883,299,105,253,0.415,70,147,0.476,35,106,0.33,54,67,0.8059999999999999,13,56,69,75,54,42,18,40
Julie Vanloo,Mystics,64154,Rookie,40,34,926,294,106,306,0.34600000000000003,34,84,0.405,72,222,0.324,10,15,0.667,5,60,65,173,102,19,1,86
Dana Evans,Sky,78469,Rookie,39,12,743,279,95,252,0.377,54,143,0.37799999999999995,41,109,0.376,48,50,0.96,5,38,43,94,53,26,5,48
Satou Sabally,Wings,195000,RFA,15,15,512,269,89,209,0.426,51,125,0.408,38,84,0.452,53,68,0.779,18,78,96,75,37,19,8,48
Leonie Fiebich,Liberty,67249,--,40,15,837,267,97,203,0.478,42,76,0.5529999999999999,55,127,0.433,18,25,0.72,39,82,121,70,41,38,7,88
